N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"75,000",200,+0.27%,100,"4,477,337","5,969,783",52.21,"13,572,854",14.54,9.99,
2,LG에너지솔루션,"454,500","1,000",-0.22%,500,"1,063,530","234,000",3.86,"703,699",308.14,N/A,
3,SK하이닉스,"133,000","2,500",+1.92%,"5,000","968,243","728,002",50.64,"5,378,652",12.02,9.53,
4,삼성전자우,"67,900",400,+0.59%,100,"558,740","822,887",74.76,"1,019,975",13.16,N/A,
5,NAVER,"324,500",0,0.00%,100,"532,339","164,049",55.13,"480,569",3.21,15.22,
6,삼성바이오로직스,"760,000","3,000",+0.40%,"2,500","502,854","66,165",10.50,"51,393",122.50,N/A,
7,LG화학,"640,000","13,000",-1.99%,"5,000","451,791","70,592",49.55,"294,125",16.68,2.93,
8,카카오,"90,600","1,300",-1.41%,100,"404,042","445,962",28.22,"2,839,009",35.67,2.70,
9,현대차,"183,500","1,500",+0.82%,"5,000","392,081","213,668",27.34,"765,540",9.30,2.04,
10,삼성SDI,"557,000","17,000",+3.15%,"5,000","383,018","68,765",44.13,"389,951",34.93,4.54,
11,기아,"79,500",0,0.00%,"5,000","322,264","405,363",35.32,"1,500,253",7.20,5.05,
12,KB금융,"65,100",500,+0.77%,"5,000","270,691","415,808",72.02,"1,243,580",6.22,8.53,
13,POSCO,"283,000","2,500",+0.89%,"5,000","246,739","87,187",52.90,"266,349",4.24,3.61,
14,카카오뱅크,"49,400","2,950",+6.35%,"5,000","234,729","475,159",15.87,"6,250,980",159.87,5.08,
15,셀트리온,"159,500","1,500",+0.95%,"1,000","220,039","137,956",20.61,"610,775",40.59,16.68,
16,현대모비스,"228,500","2,000",-0.87%,"5,000","216,100","94,573",34.29,"199,837",9.20,4.66,
17,신한지주,"41,250",150,+0.36%,"5,000","213,097","516,600",61.97,"1,412,745",5.48,8.20,
18,삼성물산,"111,500","2,000",+1.83%,100,"208,379","186,887",15.80,"451,842",12.69,3.81,
